"control_group","off_temp","test_group","control_size","test_size","effect_size","paired","variable","difference","ci","bca_ci_low","bca_ci_high","pct_ci_low","pct_ci_high","nboots","duration","month","trait","generation"
"Control@12","12","Heatwave@12",29,13,"hedges_g",FALSE,"Size",-3.75083224728418,95,-4.65883993149456,-2.87178704166993,-5.15846571328366,-3.08392566668371,5000,"short","June","body size","F1"
"Control@17","17","Heatwave@17",30,29,"hedges_g",FALSE,"Size",0.585678654673503,95,-0.0692316613753465,1.13513962695412,0.0612123316358156,1.28146592896929,5000,"short","June","body size","F1"
"Control@22","22","Heatwave@22",28,28,"hedges_g",FALSE,"Size",0.191694211573926,95,-0.342385636094874,0.766069191439501,-0.309648616569243,0.783791395231068,5000,"short","June","body size","F1"
"Control@12","12","Heatwave@12",30,29,"hedges_g",FALSE,"Size",-0.561935179531528,95,-1.09018334816836,-0.0147433199170588,-1.12616466816803,-0.0645395893240836,5000,"long","June","body size","F1"
"Control@17","17","Heatwave@17",28,27,"hedges_g",FALSE,"Size",0.193504588640158,95,-0.331655346061272,0.734179903750309,-0.31150749640905,0.762124692901349,5000,"long","June","body size","F1"
"Control@22","22","Heatwave@22",26,28,"hedges_g",FALSE,"Size",0.436338838717049,95,-0.136341091695315,0.937319875875806,-0.0839463432709369,0.988987673972751,5000,"long","June","body size","F1"
"Control@12","12","Heatwave@12",23,28,"hedges_g",FALSE,"Size",-1.09889947783205,95,-1.86610162031336,-0.278233162190311,-2.13783067949515,-0.484466588318894,5000,"short","August","body size","F1"
"Control@17","17","Heatwave@17",18,30,"hedges_g",FALSE,"Size",-1.47539609894053,95,-2.13294806222643,-0.777804218496273,-2.28849077413225,-0.912564786744341,5000,"short","August","body size","F1"
"Control@22","22","Heatwave@22",24,28,"hedges_g",FALSE,"Size",-0.974105746174728,95,-1.50190733606985,-0.386992485761695,-1.59414358110546,-0.460821880385595,5000,"short","August","body size","F1"
"Control@12","12","Heatwave@12",29,30,"hedges_g",FALSE,"Size",-0.0653397106678821,95,-0.573089747740988,0.453219332800063,-0.557232909438454,0.460938933870093,5000,"long","August","body size","F1"
"Control@17","17","Heatwave@17",28,26,"hedges_g",FALSE,"Size",-1.09066120416875,95,-1.60082707886286,-0.552452726314649,-1.69461109967005,-0.62459026609618,5000,"long","August","body size","F1"
"Control@22","22","Heatwave@22",27,20,"hedges_g",FALSE,"Size",-1.20047039812514,95,-1.87440123001576,-0.543784378512518,-1.99165149326218,-0.618506645970238,5000,"long","August","body size","F1"
"Control@17","17","Heatwave@17",10,30,"hedges_g",FALSE,"Size",-0.489169442075365,95,-1.24410817686932,0.321844263216227,-1.34867746208168,0.222098870552307,5000,"short","November","body size","F1"
"Control@12","12","Heatwave@12",15,11,"hedges_g",FALSE,"Size",-0.680750371415319,95,-1.47751629098462,0.06685193016251,-1.51690407960805,0.0232523680849268,5000,"long","November","body size","F1"
"Control@17","17","Heatwave@17",30,30,"hedges_g",FALSE,"Size",-0.645506824593844,95,-1.13780304084435,-0.121310838191713,-1.17036787935309,-0.161857072293846,5000,"long","November","body size","F1"
"Control@22","22","Heatwave@22",30,30,"hedges_g",FALSE,"Size",-0.965090248228392,95,-1.54978711587964,-0.363083405158233,-1.65408292504638,-0.435304576922469,5000,"long","November","body size","F1"
