"control_group","off_temp","test_group","control_size","test_size","effect_size","paired","variable","difference","ci","bca_ci_low","bca_ci_high","pct_ci_low","pct_ci_high","nboots","duration","month","ID","trait","generation"
"Control@17","17","Heatwave@17",10,29,"hedges_g",FALSE,"Hatched",1.18864781035348,95,0.863887160150707,1.53153736808461,0.906676454706492,1.58700386615934,5000,"short","November","17_short","production","F1"
"Control@22","22","Heatwave@22",30,30,"hedges_g",FALSE,"Hatched",2.28403848813898,95,1.80327136903403,2.86697603733576,1.89055509867178,3.03587389062216,5000,"short","November","22_short","production","F1"
"Control@12","12","Heatwave@12",15,11,"hedges_g",FALSE,"Hatched",0.25554698748361,95,-0.737536197711867,0.67428299979028,-0.612447948923089,0.87591931073754,5000,"long","November","12_long","production","F1"
"Control@17","17","Heatwave@17",26,28,"hedges_g",FALSE,"Hatched",1.86283405290122,95,1.38873043471305,2.41491644632728,1.45150513612773,2.53404872873404,5000,"long","November","17_long","production","F1"
"Control@22","22","Heatwave@22",23,28,"hedges_g",FALSE,"Hatched",0.707930279444013,95,0.42473634263332,0.98780098605714,0.443518640760018,1.00978352660617,5000,"long","November","22_long","production","F1"
"Control@12","12","Heatwave@12",30,30,"hedges_g",FALSE,"Hatched",-0.222731737283384,95,-0.708110966130261,0.278153737029767,-0.669653340724644,0.320642571748044,5000,"short","June","12_short","production","F1"
"Control@17","17","Heatwave@17",30,30,"hedges_g",FALSE,"Hatched",1.04708049683189,95,0.483446006310938,1.65709600618343,0.537474336386378,1.72228842406993,5000,"short","June","17_short","production","F1"
"Control@22","22","Heatwave@22",29,29,"hedges_g",FALSE,"Hatched",-0.0526214249844835,95,-0.572887793185014,0.455102332991353,-0.559037838784874,0.47014774949973,5000,"short","June","22_short","production","F1"
"Control@12","12","Heatwave@12",30,30,"hedges_g",FALSE,"Hatched",-0.393886978896736,95,-0.752631686269446,0.0739600249506258,-0.744856196245326,0.0836049498098345,5000,"long","June","12_long","production","F1"
"Control@17","17","Heatwave@17",30,30,"hedges_g",FALSE,"Hatched",-1.25831810641784,95,-1.83607102898368,-0.649070030162446,-1.96861058995684,-0.734419658042368,5000,"long","June","17_long","production","F1"
"Control@22","22","Heatwave@22",28,29,"hedges_g",FALSE,"Hatched",-0.388639644712143,95,-0.917857663669284,0.16520204344936,-0.948950424310484,0.122381074179106,5000,"long","June","22_long","production","F1"
"Control@12","12","Heatwave@12",30,30,"hedges_g",FALSE,"Hatched",-0.306543759622947,95,-0.727468890486405,0.214439590393047,-0.731559650082381,0.20862750153755,5000,"short","August","12_short","production","F1"
"Control@17","17","Heatwave@17",18,30,"hedges_g",FALSE,"Hatched",0.188459897121248,95,-0.376478744576822,0.702675399241435,-0.371429628175699,0.713847807837732,5000,"short","August","17_short","production","F1"
"Control@22","22","Heatwave@22",29,30,"hedges_g",FALSE,"Hatched",0.178252018602277,95,-0.385206855666665,0.660325535086136,-0.313725948369496,0.711865386255664,5000,"short","August","22_short","production","F1"
"Control@12","12","Heatwave@12",30,30,"hedges_g",FALSE,"Hatched",-0.661567389399586,95,-1.00491576998715,-0.206105716640308,-1.04983220944755,-0.259309107063211,5000,"long","August","12_long","production","F1"
"Control@17","17","Heatwave@17",30,30,"hedges_g",FALSE,"Hatched",-1.51864081844885,95,-2.03658970598168,-1.01221838651727,-2.11617905314912,-1.07918713402033,5000,"long","August","17_long","production","F1"
"Control@22","22","Heatwave@22",27,20,"hedges_g",FALSE,"Hatched",-0.373428976317715,95,-0.807864208964803,0.0958357741975347,-0.777830651900188,0.137747579073732,5000,"long","August","22_long","production","F1"
